par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_gir,less_150_sg,greater_150_sg,adj_penalties,adj_ob,arg_fairway_sg,arg_rough_sg,arg_bunker_sg,less_5_ft_sg,greater_5_less_15_sg,greater_15_sg,course,country
72.0,7293.0,463.0,203.0,-1.62,0.06,-0.05,-0.35,275.4,16.0,0.69,0.009,0.015,0.054,0.002,34.7,0.29,0.2,0.28,0.0515,0.7041,0.043,0.06,0.43,0.05,0.007,0.082,0.015,0.0,0.021,0.015,TPC Louisiana,USA
72.0,7291.0,470.0,176.0,0.7,0.11,0.07,-0.11,284.8,16.6,0.6022,-0.002,0.002,-0.053,-0.013,33.0,0.25,0.13,0.36,0.0305,0.6056,-0.038,-0.062,0.47,0.01,0.014,0.012,-0.063,0.001,0.014,-0.02,Eagle Point Golf Club,USA
71.0,7290.0,467.0,190.0,0.09,0.01,0.06,-0.21,280.2,16.8,0.6264,0.008,-0.023,0.026,-0.03,32.6,0.33,0.31,0.41,0.0104,0.6491,0.003,0.035,0.11,0.03,0.0,-0.059,-0.008,0.004,0.017,0.006,Ridgewood CC,USA
71.0,7287.0,464.0,197.0,0.43,0.18,0.05,-0.27,299.7,27.5,0.5711,-0.024,0.006,0.006,0.061,31.0,0.34,0.34,0.6,0.0152,0.6326,-0.052,0.036,0.32,0.08,0.006,0.034,-0.078,-0.013,-0.036,-0.032,Club de Golf Chapultepec,Mexico
70.0,7283.0,464.0,196.0,1.54,0.11,0.12,-0.16,293.6,20.9,0.5079,-0.004,-0.007,-0.004,-0.031,26.4,0.38,0.36,0.34,0.0238,0.6046,-0.035,0.016,0.24,0.04,0.007,-0.048,0.035,0.001,-0.006,-0.01,Olympia Fields Country Club (North Course),USA
70.0,7282.0,461.0,207.0,0.88,0.06,0.09,-0.25,280.6,18.2,0.5881,-0.005,0.018,0.048,-0.022,30.2,0.36,0.33,0.41,0.0336,0.6803,0.009,0.064,0.22,0.02,0.018,-0.027,0.05,-0.002,-0.021,0.002,Baltusrol GC,USA
70.0,7279.0,461.0,205.0,0.43,0.12,0.07,-0.47,291.3,16.1,0.5509,0.014,0.005,0.018,0.002,25.0,0.46,0.43,0.45,0.0188,0.6158,0.019,0.018,0.27,0.04,0.012,-0.021,0.033,0.009,0.026,0.011,East Lake Golf Club,USA
71.0,7275.0,467.0,184.0,-0.34,0.05,0.05,-0.36,300.1,17.7,0.5585,0.006,-0.006,-0.001,0.017,31.4,0.35,0.19,0.37,0.0782,0.6605,-0.006,0.001,0.64,0.05,-0.016,0.034,-0.017,0.002,0.008,0.009,TPC Scottsdale (Stadium Course),USA
71.0,7273.0,467.0,182.0,1.87,0.12,0.18,-0.21,275.7,22.1,0.522,0.014,-0.037,-0.037,-0.111,30.0,0.42,0.25,0.67,0.0373,0.5724,-0.078,-0.022,0.31,0.19,0.0,-0.029,-0.182,0.001,0.025,0.028,Royal Liverpool,England
71.0,7265.0,465.0,187.0,-0.82,0.01,0.0,-0.29,285.6,17.6,0.6464,-0.004,-0.026,0.046,0.033,29.9,0.31,0.26,0.4,0.0439,0.714,0.036,0.051,0.39,0.01,-0.021,-0.015,-0.037,0.005,-0.011,-0.012,Robert Trent Jones GC,USA
71.0,7253.0,464.0,189.0,-1.05,0.04,0.03,-0.5,303.0,16.4,0.5603,0.031,-0.017,-0.026,0.054,30.1,0.52,0.51,0.56,0.0049,0.623,-0.022,-0.029,0.17,0.03,0.0,-0.074,-0.012,0.007,0.085,0.017,East Lake Golf Club,USA
72.0,7250.0,465.0,190.0,-2.76,0.01,-0.08,-0.51,293.7,16.4,0.6408,0.009,0.047,0.046,0.032,38.5,0.36,0.23,0.47,0.0268,0.7074,0.02,0.058,0.19,0.01,0.046,0.06,0.032,0.003,0.013,0.019,TPC Craig Ranch,USA
70.0,7248.0,462.0,195.0,0.42,0.08,0.05,-0.27,284.9,18.6,0.6484,0.004,0.004,0.033,0.003,34.6,0.41,0.4,0.36,0.0527,0.65,0.032,0.034,0.44,0.01,0.015,-0.039,0.019,-0.002,0.013,0.004,Bellerive CC,USA
72.0,7247.0,430.0,184.0,-0.29,0.16,0.0,-0.33,302.7,25.5,0.6402,0.003,-0.115,-0.057,0.07,71.9,0.33,0.21,0.83,0.0297,0.7752,-0.066,-0.047,0.24,0.07,-0.108,-0.004,-0.348,-0.003,0.061,-0.027,St. Andrews Links (Old Course),Scotland
70.0,7246.0,460.0,201.0,1.61,0.14,0.13,-0.23,285.9,19.2,0.6488,-0.013,-0.019,-0.001,0.021,37.0,0.34,0.3,0.39,0.0264,0.6293,-0.034,0.018,0.28,0.04,-0.009,-0.073,-0.009,-0.004,-0.012,-0.029,Glen Oaks Club,USA
71.0,7245.0,463.0,191.0,0.59,0.09,0.13,-0.42,286.6,19.7,0.5166,-0.017,0.009,0.007,-0.029,34.0,0.24,0.15,0.45,0.0064,0.5555,-0.006,0.012,0.08,0.04,0.004,0.048,-0.059,-0.011,-0.035,-0.011,The Riviera Country Club,USA
72.0,7231.0,445.0,188.0,-0.76,-0.02,0.03,-0.37,282.4,19.2,0.5556,0.004,-0.009,0.001,-0.035,29.8,0.43,0.42,0.37,0.0121,0.6374,0.017,-0.012,0.08,0.0,0.019,-0.054,0.036,-0.001,0.003,0.014,Oakdale Golf & Country Club,USA
71.0,7220.0,463.0,191.0,-1.25,-0.01,-0.01,-0.38,293.0,16.6,0.638,0.014,0.014,0.024,0.008,35.2,0.4,0.25,0.42,0.0721,0.7208,0.033,0.019,0.7,0.12,0.026,0.012,-0.035,0.004,0.015,0.03,TPC Twin Cities,USA
72.0,7214.0,462.0,186.0,-1.57,0.0,-0.04,-0.31,288.5,17.9,0.5448,0.002,0.02,0.015,0.003,28.9,0.29,0.26,0.38,0.0184,0.7015,0.026,0.008,0.24,0.01,0.007,0.028,0.047,0.0,0.0,0.008,The Country Club of Jackson,USA
71.0,7205.0,467.0,167.0,-2.42,-0.09,-0.06,-0.47,301.1,20.4,0.8603,-0.015,0.001,0.045,0.128,49.4,0.49,0.2,0.43,0.1699,0.7736,0.009,0.061,0.57,0.21,-0.01,0.052,-0.018,-0.006,-0.033,-0.014,Black Desert Resort,USA
71.0,7201.0,460.0,190.0,-0.3,0.05,0.07,-0.43,286.4,17.2,0.6609,0.008,0.019,0.015,-0.023,36.8,0.47,0.2,0.46,0.1028,0.6086,0.008,0.018,0.76,0.07,0.006,-0.016,0.053,0.005,0.015,0.008,Liberty National Golf Club,USA
72.0,7197.0,466.0,168.0,-1.05,0.06,0.05,-0.44,299.9,19.4,0.5168,0.007,0.006,-0.047,0.032,31.3,0.31,0.25,0.32,0.0241,0.6294,-0.01,-0.074,0.46,0.04,0.016,0.02,-0.023,0.005,0.016,0.001,Glen Abbey GC,Canada
70.0,7180.0,457.0,197.0,1.03,0.12,0.11,-0.38,288.2,19.5,0.5001,0.009,-0.014,-0.004,-0.009,28.7,0.34,0.34,0.22,0.0126,0.5909,-0.03,0.007,0.11,0.06,0.004,-0.048,-0.019,0.005,0.032,-0.002,TPC Harding Park,USA
70.0,7167.0,462.0,176.0,-1.56,-0.05,-0.02,-0.56,299.8,17.2,0.6674,-0.001,0.035,0.048,0.076,39.2,0.4,0.32,0.51,0.0192,0.7294,0.049,0.047,0.16,0.04,0.063,0.022,-0.004,0.0,0.01,-0.01,TPC Toronto at Osprey Valley (North Course),Canada
71.0,7162.0,459.0,183.0,-0.68,0.0,0.05,-0.41,276.7,16.2,0.6226,0.013,-0.007,0.022,-0.042,30.0,0.42,0.28,0.52,0.0751,0.6911,0.015,0.025,0.84,0.07,0.002,-0.036,0.017,0.0,0.019,0.03,Le Golf National,France
72.0,7158.0,458.0,187.0,-1.49,0.09,-0.05,-0.33,282.6,16.8,0.5965,0.009,0.035,0.005,-0.02,33.9,0.28,0.17,0.44,0.0433,0.6765,0.041,-0.017,0.74,0.13,0.039,0.069,-0.145,0.004,0.014,0.014,Pete Dye Stadium Course,USA
72.0,7148.0,457.0,189.0,-3.19,-0.03,-0.07,-0.59,295.9,18.5,0.619,0.002,0.019,0.037,0.038,34.6,0.33,0.24,0.47,0.0447,0.7427,0.046,0.032,0.42,0.1,0.028,0.018,-0.002,0.002,0.004,0.001,Keene Trace Golf Club (Champion Trace),USA
71.0,7144.0,454.0,197.0,0.1,0.11,0.03,-0.24,283.2,15.3,0.6299,0.001,-0.013,-0.005,0.012,35.9,0.34,0.22,0.48,0.0195,0.635,-0.009,-0.004,0.38,0.02,-0.022,-0.018,-0.016,0.0,0.002,0.002,TPC Boston,USA
71.0,7135.0,455.0,191.0,-1.48,0.03,-0.02,-0.47,290.5,19.2,0.5798,-0.001,0.038,0.021,-0.007,34.0,0.27,0.21,0.4,0.008,0.691,0.042,0.009,0.13,0.0,0.022,0.068,0.013,0.001,-0.005,-0.001,Dunes Golf and Beach Club,USA
72.0,7135.0,460.0,178.0,0.7,0.14,0.13,-0.29,282.3,18.4,0.5976,-0.005,-0.032,-0.044,-0.047,30.6,0.45,0.35,0.41,0.0573,0.6244,-0.067,-0.028,0.73,0.09,-0.025,-0.059,-0.041,0.0,-0.003,-0.014,TPC Sawgrass (THE PLAYERS Stadium Course),USA
71.0,7133.0,456.0,187.0,-1.83,-0.04,-0.05,-0.39,291.7,18.2,0.6907,0.012,-0.009,0.026,0.046,37.9,0.4,0.4,0.37,0.0264,0.7228,0.025,0.027,0.26,0.01,-0.019,-0.01,0.019,0.004,0.025,0.014,TPC Deere Run,USA
71.0,7120.0,457.0,178.0,-1.8,-0.02,-0.02,-0.49,287.3,18.4,0.816,-0.003,-0.008,0.042,0.059,59.9,0.38,0.21,0.45,0.0427,0.7615,0.027,0.048,0.14,0.02,-0.012,0.026,-0.023,-0.003,-0.011,0.005,Trinity Forest Golf Club,USA
70.0,7113.0,479.0,178.0,0.2,0.06,0.09,-0.33,295.0,20.3,0.5171,-0.016,0.067,0.008,-0.008,32.2,0.29,0.22,0.59,0.0082,0.6499,-0.009,0.015,0.05,0.02,0.066,0.094,-0.04,-0.024,-0.033,0.013,The Renaissance Club,Scotland
70.0,7113.0,451.0,198.0,-0.83,0.05,-0.03,-0.34,291.1,18.8,0.6592,0.005,0.008,0.044,0.029,36.6,0.34,0.25,0.5,0.0461,0.6983,0.034,0.052,0.24,0.07,0.031,-0.006,-0.025,0.004,0.002,0.008,The Old White TPC,USA
70.0,7106.0,480.0,177.0,0.31,0.07,0.08,-0.27,293.2,16.7,0.5588,-0.002,-0.014,0.004,0.011,32.3,0.26,0.22,0.35,0.0218,0.6342,-0.011,0.011,0.34,0.02,-0.03,0.006,0.033,0.0,-0.009,0.003,Memorial Park Golf Course,USA
70.0,7103.0,456.0,179.0,-0.31,0.06,0.02,-0.41,296.1,19.8,0.5566,-0.011,-0.001,0.037,0.017,35.4,0.28,0.23,0.42,0.005,0.7178,0.043,0.031,0.09,0.03,0.026,-0.009,-0.011,-0.003,-0.019,-0.017,The Philadelphia Cricket Club (Wissahickon Course),USA
70.0,7097.0,457.0,176.0,0.12,0.04,0.06,-0.4,290.7,17.3,0.5636,0.01,0.009,-0.012,-0.004,29.3,0.44,0.37,0.43,0.0421,0.5984,0.002,-0.02,0.67,0.06,0.008,-0.014,0.032,0.003,0.021,0.01,TPC Southwind,USA
71.0,7095.0,453.0,190.0,-2.13,0.01,-0.06,-0.51,282.9,17.0,0.6688,-0.006,0.03,0.058,0.037,37.5,0.36,0.34,0.45,0.0136,0.7379,0.093,0.041,0.19,0.03,-0.029,0.064,0.091,0.001,-0.008,-0.017,RTJ Trail (Grand National),USA
72.0,7094.0,452.0,190.0,-0.96,0.08,0.0,-0.32,287.8,21.2,0.5084,-0.005,-0.017,-0.003,-0.012,26.3,0.33,0.26,0.44,0.0181,0.6872,0.002,-0.006,0.17,0.08,-0.018,-0.027,-0.002,-0.001,-0.009,-0.007,Silverado Resort (North Course),USA
